Ordnung;trivial Name;Gattungsname;Artname;Autor;Status RL NI;Stadium;Anzahl;Datum;Flur Bezeichnung
Bienen;Weidensandbiene;Andrena;vaga;Panzer, 1799;*;Imago;1;22.03.2022;Magerbrachflaeche Schleuse
Bienen;Sommerpelzbiene;Anthophora;aestivalis;Panzer 1801;1;Imago;1;29.04.2022;Magerbrachflaeche Schleuse
Bienen;Flaum Sandbiene;Andrena;nitida;Müller, 1776;*;Imago;2;11.04.2022;Magerbrachflaeche Schleuse
Bienen;Goldene Schneckenhaus-Mauerbiene;Osmia;aurulenta ;Panzer 1799;*;Imago;1;15.05.2022;Magerbrachflaeche Schleuse
Bienen;Große Blutbiene;Sphecodes;albilabris;Fabricius, 1793;*;Imago;1;29.04.2022;Magerbrachflaeche Schleuse
Bienen;Gemeine Sandbiene;Andrena;flavipes;Panzer, 1799;*;Imago;1;22.03.2022;Magerbrachflaeche Schleuse
Bienen;Gelbbindige Furchenbiene;Halictus;scabiosae;Rossi, 1790;U;Imago;1;05.05.2022;Magerbrachflaeche Schleuse
Bienen;Gelbbindige Furchenbiene;Halictus;scabiosae;Rossi, 1790;U;Imago;1;21.09.2022;Magerbrachflaeche Schleuse
Bienen;Zweifarbigie Sandbiene;Andrena;bicolor;Fabricius, 1775;;Imago;1;18.03.2023;Magerbrachflaeche Schleuse
Bienen;Flaum Sandbiene;Andrena;nitida;Müller, 1776;*;Imago;2;04.04.2023;Magerbrachflaeche Schleuse
Bienen;Gemeine Sandbiene;Andrena;flavipes;Panzer, 1799;*;Imago;1;04.04.2023;Magerbrachflaeche Schleuse
Bienen;Baumhummel;Bombus;hypnorum;Linnaeus, 1758;;Imago;1;19.06.2022;Magerbrachflaeche Schleuse
Bienen;Große Blaue Holzbiene;Xylocopa;violacea;Linnaeus, 1758;;Imago;1;04.08.2023;Magerbrachflaeche Schleuse
Bienen;Große Blaue Holzbiene;Xylocopa;violacea;Linnaeus, 1758;;Imago;1;11.08.2023;Magerbrachflaeche Schleuse
Bohrfliegen;Bohrfliege Urophora stylata;Urophora;stylata;Fabricius, 1775;U;Imago;2;02.07.2021;Magerbrachflaeche Schleuse
Fliegen;Großer Wollschweber;Bombylius;major;Latreille, 1802;*;Imago;2;22.03.2022;Magerbrachflaeche Schleuse
Fliegen;Großer Wollschweber;Bombylius;major;Latreille, 1802;*;Imago;20;13.04.2022;Magerbrachflaeche Schleuse
Fliegen;Gefleckter Wollschweber;Bombylius;discolor;Mikan, 1796;;Imago;2;13.04.2022;Magerbrachflaeche Schleuse
Fliegen;Gefleckter Wollschweber;Bombylius;discolor;Mikan, 1796;;Imago;2;13.04.2022;Magerbrachflaeche Schleuse
Fliegen;Großer Wollschweber;Bombylius;major;Latreille, 1802;*;Imago;3;04.04.2023;Magerbrachflaeche Schleuse
Fliegen;Waffenfliegen;Clitellaria;ephippium;Fabricius, 1775;;Imago;1;22.05.2023;Magerbrachflaeche Schleuse
Heuschrecken;Gruenes Heupferd;Tettigonia;viridissima;Linnaeus, 1758;*;Imago;1;26.09.2021;Magerbrachflaeche Schleuse
Heuschrecken;Gruenes Heupferd;Tettigonia;viridissima;Linnaeus, 1758;*;Imago;1;08.07.2021;Magerbrachflaeche Schleuse
