Datum;Familie;Name;deutscher Name;Autor; K&R;RL NDS/HB;Stadium;Anzahl;MTB_Q_MF;L‰ngengrad;Breitengrad;Flur Bezeichnung;Beobachter;Kommentar
2019-05-29;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;10;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2019-06-06;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;10;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-05-20;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;4;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-07-07;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;2;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-07-13;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;2;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-07-23;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;2;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-07-30;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;3;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-08-03;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;1;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-08-06;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;1;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-08-13;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;4;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-08-15;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;3;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-08-24;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;10;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-08-27;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;2;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-08-30;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;2;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-09-07;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;5;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-09-09;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;10;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-09-11;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;5;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-09-12;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;10;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-09-15;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;6;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-09-17;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;5;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
2020-09-18;Lycaenidae (Bl‰ulinge);Polyommatus icarus;Hauhechel-Bl‰uling;Rottemburg, 1775;07163;*;Imago;10;3625_4_13;9∞57'33.9"E;52∞17'58.9"N;Magerbrachfl‰che Schleuse-Bolzum;Rainer Theuer;;
